PariticipantID,SessionIndex,SessionStart,SessionEnd,PracticeStart,PracticeEnd,MainStart,MainEnd,QuestionStart,QuestionEnd,TrialStatus,TrialIndex,TrialStart,TrialVisualizationStart,TrialVisualizationEnd,TrialAnswerStart,TrialAnswerEnd,TrialFeedbackStart,TrialEnd,TrialAnswer,TrialIntAccuracy,TrialSolution,TrialDataset,FactorStereo,FactorMotion,FactorPerspective,FactorShading,Dim,Step,BinIndex,BinLower,BinUpper,File
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,practice,0,1552999656506,1552999657509,1552999723133,1552999724135,1552999762583,1552999762583,1552999773852,98,77,0.7788,cifar10,yes,no,no,shading-1,3,6.33333,1,73.5,79.8333,cifar10-e0051-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,practice,1,1552999773852,1552999774868,1552999870033,1552999871037,1552999879821,1552999879821,1552999883559,92,89,0.8992,cifar10,yes,no,no,shading-2,3,6.33333,3,86.1667,92.5,cifar10-e0099-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,practice,2,1552999883559,1552999884576,1552999891382,1552999892384,1552999897169,1552999897169,1552999898442,72,39,0.3978,cifar10,yes,no,no,flat,3,6.33333,0,38.5,73.5,cifar10-e0001-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,practice,3,1552999898442,1552999899459,1552999914150,1552999915152,1552999921025,1552999921025,1552999922132,57,71,0.713,cifar10,yes,no,yes,flat,3,6.33333,0,38.5,73.5,cifar10-e0006-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,practice,4,1552999922132,1552999923147,1552999929418,1552999930423,1552999936541,1552999936541,1552999937658,84,82,0.8206,cifar10,yes,no,yes,shading-2,3,6.33333,2,79.8333,86.1667,cifar10-e0081-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,practice,5,1552999937658,1552999938675,1552999942726,1552999943727,1552999947354,1552999947354,1552999949253,72,85,0.8514,cifar10,yes,no,yes,shading-1,3,6.33333,2,79.8333,86.1667,cifar10-e0065-f1-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,practice,6,1552999949253,1552999950269,1552999953566,1552999954568,1552999958295,1552999958295,1552999959526,71,75,0.751,cifar10,yes,no,no,no,2,6.33333,1,73.5,79.8333,cifar10-e0009-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,practice,7,1552999959526,1552999960543,1552999961884,1552999962887,1552999964168,1552999964168,1552999968933,100,78,0.7858,cifar10,yes,no,no,no,2,6.33333,1,73.5,79.8333,cifar10-e0046-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,0,1552999978984,1552999980001,1552999998601,1552999999603,1553000003267,-999,1553000003318,79,84,0.848,cifar10,yes,no,no,shading-1,3,6.33333,2,79.8333,86.1667,cifar10-e0044-f0-5k-l-2-tsne.txt
P1,0,1552999651186,1553000268302,1552999651186,1552999968933,1552999973243,1553000268302,1553000280339,1553000461294,main,1,1553000003318,1553000004335,1553000011729,1553000012731,1553000017405,-999,1553000017456,69,73,0.7326,cifar10,yes,no,no,shading-1,3,6.33333,0,38.5,73.5,cifar10-e0022-f0-5k-l-2-tsne.txt
